Genetic Sudoku Experiment
Experiment Time: 26/06/2016 12:30:42
Expirement Parameters:,
Orginal Empty Cells:,48,
Population Size:,2,
Max Generations:,50,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
Percent of good indviduals from population:,0.4,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
0,15.0,3.0,9.0,Minimum( Multi( Minus( Mod( Plus( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum )  div( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Plus( Maximum( div( Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInSquare  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Plus( NumOfOptionsInCell  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInRow ) ) )  div( div( Minimum( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  +  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInRowsContainsNum )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  +  countEmptyCellsInRows_ThatNotContainsNum )) Max (( NumOfOptionsInCell  +  countEmptyCellInRow ) + ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInRow ))) + ((( countEmptyCellInRow  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum )) / (( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInColsContainsNum ))))),
1,15.0,3.0,9.0,Minimum( Multi( Minus( Mod( Plus( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum )  div( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Plus( Maximum( div( Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInSquare  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Plus( NumOfOptionsInCell  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInRow ) ) )  div( div( Minimum( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  +  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInRowsContainsNum  /  countEmptyCellsInRowsContainsNum )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  +  countEmptyCellsInRows_ThatNotContainsNum )) Max (( NumOfOptionsInCell  +  countEmptyCellInRow ) + ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInRow ))) + ((( countEmptyCellInRow  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum )) / (( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInColsContainsNum ))))),
2,11.0,6.0,8.5,Minimum( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Plus( Maximum( div( Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInSquare  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Plus( NumOfOptionsInCell  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInRow ) ) )  div( div( Minimum( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  +  countEmptyCellsInRows_ThatNotContainsNum )) Max (( NumOfOptionsInCell  +  countEmptyCellInRow ) + ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInRow ))) + ((( countEmptyCellInRow  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum )) / (( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInColsContainsNum ))))),
3,13.0,6.0,9.5,Minimum( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Plus( Maximum( div( Multi( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Plus( countEmptyCellInSquare  countEmptyCellsInRows_ThatNotContainsNum ) )  Plus( Plus( NumOfOptionsInCell  countEmptyCellInRow )  Plus( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellInRow ) ) )  div( div( Minimum( countEmptyCellInRow  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Plus( Mod( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Maximum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( countEmptyCellsInCols_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ) / ( countEmptyCellInSquare  +  countEmptyCellsInRows_ThatNotContainsNum )) Max (( NumOfOptionsInCell  +  countEmptyCellInRow ) + ( countEmptyCellsInSquare_ThatNotContainsNum  +  countEmptyCellInRow ))) + ((( countEmptyCellInRow  Min  countEmptyCellsInSquare_ThatNotContainsNum ) / ( countEmptyCellsInSquare_ThatNotContainsNum  /  countEmptyCellsInSquare_ThatNotContainsNum )) / (( NumOfOptionsInCell  %  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  Max  countEmptyCellsInColsContainsNum ))))),
4,7.0,7.0,7.0,Minimum( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
5,7.0,7.0,7.0,Minimum( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) Min (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
6,14.0,7.0,10.5,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
7,14.0,7.0,10.5,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
8,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
9,7.0,7.0,7.0,Minus( Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Multi( Minus( Plus( Minus( NumOfOptionsInCell  NumOfOptionsInCell )  Multi( countEmptyCellInSquare  countEmptyCellInSquare ) )  Multi( Minus( countEmptyCellsInSquareContainsNum  countEmptyCellsInCols_ThatNotContainsNum )  Minus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) )  div( Minus( div( countEmptyCellsInSquareContainsNum  countEmptyCellInRow )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) )  Minimum( Minus( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell )  div( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) ) ),((((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell )))) - (((( NumOfOptionsInCell  -  NumOfOptionsInCell ) + ( countEmptyCellInSquare  *  countEmptyCellInSquare )) - (( countEmptyCellsInSquareContainsNum  -  countEmptyCellsInCols_ThatNotContainsNum ) * ( numOfOptionsToAppearInBoard  -  countEmptyCellsInColsContainsNum ))) * ((( countEmptyCellsInSquareContainsNum  /  countEmptyCellInRow ) - ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInRows_ThatNotContainsNum )) / (( countEmptyCellsInRows_ThatNotContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInRowsContainsNum  /  NumOfOptionsInCell ))))),
